Region,Region Name,Elastic Load Balancing Account ID
us-east-1,US East (N. Virginia),127311923021
us-east-2,US East (Ohio),033677994240
us-west-1,US West (N. California),027434742980
us-west-2,US West (Oregon),797873946194
ca-central-1,Canada (Central),985666609251
eu-west-1,EU (Ireland),156460612806
eu-central-1,EU (Frankfurt),054676820928
eu-west-2,EU (London),652711504416
ap-northeast-1,Asia Pacific (Tokyo),582318560864
ap-northeast-2,Asia Pacific (Seoul),600734575887
ap-southeast-1,Asia Pacific (Singapore),114774131450
ap-southeast-2,Asia Pacific (Sydney),783225319266
ap-south-1,Asia Pacific (Mumbai),718504428378
sa-east-1,South America (São Paulo),507241528517
us-gov-west-1,AWS GovCloud (US),048591011584
cn-north-1,China (Beijing),638102146993
