Zone,Name,Version,Arch,Instance Type,Release,AMI-ID,AKI-ID
ap-northeast-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-adceb9cb,hvm
ap-northeast-2,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-35a3015b,hvm
ap-south-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-88d98ae7,hvm
ap-southeast-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-a55c1dd9,hvm
ap-southeast-2,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-e1c43f83,hvm
ca-central-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-c7a622a3,hvm
cn-north-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180126,ami-cc4499a1,hvm
cn-northwest-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180126,ami-fd0e1a9f,hvm
eu-central-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-714f2b1e,hvm
eu-west-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-c1167eb8,hvm
eu-west-2,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-e0bc5987,hvm
eu-west-3,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-6bad1b16,hvm
sa-east-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-9a2d63f6,hvm
us-east-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-0b383171,hvm
us-east-2,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-4f80b52a,hvm
us-gov-west-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180126,ami-77199016,hvm
us-west-1,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-9cb2bdfc,hvm
us-west-2,xenial,16.04 LTS,amd64,hvm:ebs-ssd,20180205,ami-c62eaabe,hvm
ap-northeast-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-15e58f73,hvm
ap-southeast-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-e355129f,hvm
ap-southeast-2,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-c625dda4,hvm
cn-north-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180122,ami-0b508d66,hvm
cn-northwest-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180122,ami-41130723,hvm
eu-central-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-fa2fb595,hvm
eu-west-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-78d2be01,hvm
sa-east-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-2a82cd46,hvm
us-east-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-a22323d8,hvm
us-gov-west-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-e58f0784,hvm
us-west-1,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-77050a17,hvm
us-west-2,trusty,14.04 LTS,amd64,hvm:ebs-ssd,20180201,ami-8f78c2f7,hvm
